,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,BTC-USD,0.002228582165292153,23.0
1,ZEC-USD,COMP-USD,0.4121804814486263,7.0
2,ZEC-USD,LTC-USD,0.3313367703269285,6.0
3,AAVE-USD,ETC-USD,3.8539096103294526,14.0
4,AAVE-USD,XTZ-USD,93.29676303829962,20.0
5,AAVE-USD,1INCH-USD,228.2961313293123,23.0
6,AAVE-USD,ADA-USD,190.49386556553267,10.0
7,AAVE-USD,SNX-USD,28.581500422826018,10.0
8,ETC-USD,XTZ-USD,24.18617602227313,17.0
9,ETC-USD,YFI-USD,0.0033478635502848363,17.0
10,ETC-USD,RUNE-USD,5.824150870116624,18.0
11,ETC-USD,COMP-USD,0.4506485339364832,18.0
12,ETC-USD,ALGO-USD,142.71100575166577,15.0
13,ETC-USD,FIL-USD,4.572187530197389,11.0
14,ETC-USD,MATIC-USD,31.47345219756992,15.0
15,ETC-USD,NEAR-USD,8.270206071402125,20.0
16,ETC-USD,DOT-USD,3.592147752138355,11.0
17,ETC-USD,CELO-USD,35.91196682841167,7.0
18,ETC-USD,1INCH-USD,59.226909170847904,13.0
19,ETC-USD,ADA-USD,49.3947491846315,15.0
20,ETC-USD,ENJ-USD,85.33533478051424,12.0
21,ETC-USD,SNX-USD,7.412635996905873,8.0
22,ETC-USD,EOS-USD,34.454492871957285,20.0
23,ETC-USD,ATOM-USD,2.5653421471035793,19.0
24,XTZ-USD,FIL-USD,0.18880630336586585,15.0
25,XTZ-USD,DOT-USD,0.14832535560611965,15.0
26,XTZ-USD,ADA-USD,2.0394299206848427,24.0
27,XTZ-USD,SNX-USD,0.3059969090450919,20.0
28,XTZ-USD,EOS-USD,1.4230650512610334,21.0
29,LINK-USD,LTC-USD,0.21581267680744154,15.0
30,BCH-USD,COMP-USD,4.367641567623533,10.0
31,BCH-USD,XLM-USD,2094.8084724339633,8.0
32,BCH-USD,ATOM-USD,24.854711583118053,13.0
33,XMR-USD,TRX-USD,1412.531753577728,13.0
34,XMR-USD,BTC-USD,0.0037553163885878033,18.0
35,YFI-USD,FIL-USD,1364.9970684967734,19.0
36,YFI-USD,DOT-USD,1072.4720407871991,14.0
37,YFI-USD,ADA-USD,14750.72139731851,9.0
38,YFI-USD,SNX-USD,2213.1180317153503,9.0
39,YFI-USD,EOS-USD,10291.846624175463,7.0
40,YFI-USD,ATOM-USD,766.423262192536,10.0
41,COMP-USD,FIL-USD,10.12439725141159,24.0
42,COMP-USD,MATIC-USD,69.70656679094023,19.0
43,COMP-USD,DOT-USD,7.954525196955137,19.0
44,COMP-USD,BTC-USD,0.001328865237371712,11.0
45,COMP-USD,ADA-USD,109.43884244780155,13.0
46,COMP-USD,ENJ-USD,189.08289300211914,12.0
47,COMP-USD,SNX-USD,16.415385098161202,18.0
48,COMP-USD,UNI-USD,8.80591187817074,22.0
49,COMP-USD,ETH-USD,0.022986470811319278,18.0
50,COMP-USD,XLM-USD,479.2837546654815,11.0
51,COMP-USD,EOS-USD,76.36425780186633,11.0
52,COMP-USD,ATOM-USD,5.687762526142583,9.0
53,COMP-USD,LTC-USD,0.8034980472626461,8.0
54,FIL-USD,NEAR-USD,1.808575303033273,10.0
55,FIL-USD,DOT-USD,0.7854824635790109,8.0
56,FIL-USD,1INCH-USD,12.949677103796386,11.0
57,FIL-USD,ADA-USD,10.8003524109368,19.0
58,FIL-USD,SNX-USD,1.6206593466853865,12.0
59,MATIC-USD,CELO-USD,1.1405664621177531,15.0
60,MATIC-USD,ENJ-USD,2.7112950646102147,8.0
61,NEAR-USD,DOT-USD,0.4340244758860807,18.0
62,NEAR-USD,CELO-USD,4.339140156178033,11.0
63,NEAR-USD,1INCH-USD,7.157733819351432,11.0
64,NEAR-USD,ENJ-USD,10.308418843892625,24.0
65,NEAR-USD,SNX-USD,0.8953618072708054,23.0
66,DOT-USD,CELO-USD,9.99389143852845,11.0
67,DOT-USD,1INCH-USD,16.482275483389742,17.0
68,DOT-USD,ENJ-USD,23.754585791677023,11.0
69,DOT-USD,SNX-USD,2.0631581262457868,9.0
70,DOT-USD,EOS-USD,9.592434133540236,18.0
71,DOT-USD,ATOM-USD,0.714245101448898,22.0
72,CELO-USD,1INCH-USD,1.6491049489858667,10.0
73,CELO-USD,ADA-USD,1.3750680311173205,23.0
74,CELO-USD,SNX-USD,0.2063578003390077,12.0
75,1INCH-USD,SNX-USD,0.12506804544487962,21.0
76,ADA-USD,ATOM-USD,0.051948860802715796,14.0
77,ENJ-USD,ATOM-USD,0.030068470793269082,11.0
78,SNX-USD,ATOM-USD,0.34616212822315917,20.0
79,XLM-USD,ATOM-USD,0.011864097359644454,17.0
80,EOS-USD,ATOM-USD,0.07446395399670078,6.0
